DataSet/Point,Distance (µm),Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
2 / 1 . ,0,0.033055,0.003475,0.00001,0.00001,0.00001,0.003394,0.00001,0.018823,0.00001,0.041403,69.94356,20.08196,90.12572,0.048823,0.004931,0.00001,0.000013,0.00001,0.002824,0.000007,0.005462,0.000002,0.006932,49.91143,50.01956,100,0.062458,0.007435,0.000012,0.000023,0.000014,0.005661,0.000013,0.021016,0.000011,0.046969,89.9821,90.12572,120,105,,,,186,,592,,511,1275,,-16671,-22700,47, , ,H-24B-Profile2,0,19.84606,112,"Monday, April 17, 2023 11:30:53 PM"
2 / 2 . ,2,0.064479,0.017962,0.00001,0.003537,0.00001,0.00295,0.004412,0.00001,0.007627,0.058905,69.46346,19.99562,89.61899,0.0957,0.025611,0.00001,0.004573,0.00001,0.002466,0.003216,0.000003,0.001316,0.00991,49.81018,50.047,100,0.121832,0.038427,0.000012,0.008105,0.000014,0.00492,0.005697,0.000011,0.008679,0.066824,89.36446,89.61899,110,99,,228,,193,305,,465,495,1288,,-16671,-22702,47, , ,H-24B-Profile2,2,19.7344,113,"Monday, April 17, 2023 11:35:42 PM"
2 / 3 . ,4,0.072705,0.021059,0.00001,0.00001,0.00001,0.009426,0.00001,0.00001,0.003249,0.052322,69.50368,20.01499,89.67748,0.107813,0.030001,0.00001,0.000013,0.00001,0.007874,0.000007,0.000003,0.00056,0.008795,49.79434,50.05058,100,0.137376,0.045053,0.000012,0.000023,0.000014,0.015724,0.000013,0.000011,0.003697,0.059357,89.41621,89.67748,110,100,,,,187,,,471,502,1304,,-16671.1,-22704,47, , ,H-24B-Profile2,4,19.73771,114,"Monday, April 17, 2023 11:40:32 PM"
2 / 4 . ,6,0.07223,0.009025,0.00001,0.016822,0.00001,0.00001,0.002591,0.045633,0.00001,0.07174,69.74496,20.09364,90.05669,0.106699,0.012808,0.00001,0.021646,0.00001,0.000008,0.00188,0.013244,0.000002,0.012013,49.77636,50.05532,100,0.136478,0.019308,0.000012,0.038545,0.000014,0.000017,0.003345,0.050949,0.000011,0.081384,89.72662,90.05669,109,100,,229,,,308,595,,515,1267,,-16671.1,-22706,47, , ,H-24B-Profile2,6,19.84658,115,"Monday, April 17, 2023 11:45:22 PM"
2 / 5 . ,8,0.069005,0.010505,0.007971,0.00001,0.00001,0.001027,0.00001,0.008542,0.023008,0.060507,69.87164,20.10593,90.15817,0.101838,0.014894,0.008118,0.000013,0.00001,0.000854,0.000007,0.002477,0.003948,0.010122,49.81937,50.03836,100,0.130384,0.022474,0.009602,0.000023,0.000014,0.001714,0.000013,0.009537,0.026182,0.068641,89.8896,90.15817,112,102,158,,,191,,620,471,521,1248,,-16671.1,-22708,47, , ,H-24B-Profile2,8,19.86845,116,"Monday, April 17, 2023 11:50:11 PM"
2 / 6 . ,10,0.073954,0.011439,0.00001,0.012612,0.00001,0.00001,0.00001,0.00001,0.00001,0.035263,69.84229,20.1094,90.08501,0.10915,0.016219,0.00001,0.016215,0.00001,0.000008,0.000007,0.000003,0.000002,0.0059,49.80196,50.05051,100,0.139736,0.024471,0.000012,0.028899,0.000014,0.000017,0.000013,0.000011,0.000011,0.040004,89.85183,90.08501,114,103,,238,,,,?,,517,1292,,-16671.1,-22710,47, , ,H-24B-Profile2,10,19.81332,117,"Monday, April 17, 2023 11:55:01 PM"
2 / 7 . ,12,0.041543,0.010272,0.00001,0.00001,0.00001,0.00001,0.010873,0.011108,0.00001,0.054681,69.05562,19.84465,89.02879,0.062103,0.014753,0.00001,0.000013,0.00001,0.000008,0.007983,0.003263,0.000002,0.009266,49.87505,50.02754,100,0.078495,0.021977,0.000012,0.000023,0.000014,0.000017,0.01404,0.012402,0.000011,0.062033,88.83977,89.02879,110,99,,,,,299,617,,498,1269,,-16671.1,-22712,47, , ,H-24B-Profile2,12,19.60813,118,"Monday, April 17, 2023 11:59:51 PM"
2 / 8 . ,14,0.05272,0.028015,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.002699,0.054418,67.70078,19.48253,87.32121,0.080306,0.040996,0.000011,0.000013,0.00001,0.000009,0.000007,0.000003,0.000478,0.009396,49.82325,50.04552,100,0.099614,0.059934,0.000012,0.000023,0.000014,0.000017,0.000013,0.000011,0.003071,0.061733,87.09677,87.32121,100,91,,,,,,,436,469,1264,,-16671.2,-22714,47, , ,H-24B-Profile2,14,19.22409,119,"Tuesday, April 18, 2023 12:04:41 AM"
2 / 9 . ,16,0.082132,0.058392,0.003536,0.008633,0.00773,0.00001,0.008434,0.013078,0.00001,0.064312,69.51795,20.08379,89.84801,0.121458,0.082955,0.003609,0.011121,0.007695,0.000008,0.006125,0.0038,0.000002,0.010781,49.66777,50.08467,100,0.155189,0.124921,0.00426,0.019781,0.010815,0.000017,0.01089,0.014602,0.000011,0.072958,89.43456,89.84801,103,92,150,227,221,,307,619,,503,1266,,-16671.2,-22716,47, , ,H-24B-Profile2,16,19.77235,120,"Tuesday, April 18, 2023 12:09:31 AM"
2 / 10 . ,18,0.134723,0.012042,0.00001,0.002896,0.00001,0.003051,0.00001,0.015349,0.00001,0.067413,69.4821,20.05654,89.77415,0.199434,0.017125,0.00001,0.003734,0.00001,0.002544,0.000007,0.004464,0.000002,0.011312,49.69321,50.06815,100,0.254559,0.025761,0.000012,0.006635,0.000014,0.005088,0.000013,0.017137,0.000011,0.076476,89.38844,89.77415,115,102,,238,,195,,601,,512,1259,,-16671.2,-22718,47, , ,H-24B-Profile2,18,19.76081,121,"Tuesday, April 18, 2023 12:14:21 AM"
2 / 11 . ,20,0.097198,0.021222,0.000888,0.018143,0.00001,0.00173,0.001418,0.02435,0.014564,0.047805,69.75772,20.1324,90.11745,0.143359,0.030071,0.000904,0.023311,0.00001,0.001437,0.001027,0.007056,0.002498,0.007992,49.70824,50.07409,99.99999,0.183655,0.045403,0.00107,0.041573,0.000014,0.002885,0.00183,0.027187,0.016573,0.054232,89.74303,90.11745,88,85,159,228,,195,312,626,485,517,1284,,-16671.2,-22720,47, , ,H-24B-Profile2,20,19.83756,122,"Tuesday, April 18, 2023 12:19:09 AM"
2 / 12 . ,22,0.086062,0.03114,0.005989,0.017621,0.001664,0.000795,0.00001,0.028585,0.00001,0.044412,68.93808,19.89699,89.05137,0.128436,0.044645,0.006168,0.022907,0.001671,0.000669,0.000007,0.008381,0.000002,0.007513,49.70544,50.07416,100,0.162613,0.06662,0.007215,0.040376,0.002328,0.001327,0.000013,0.031915,0.000011,0.050382,88.68857,89.05137,106,96,151,211,230,193,,599,,514,1254,,-16671.3,-22722,47, , ,H-24B-Profile2,22,19.59237,123,"Tuesday, April 18, 2023 12:23:58 AM"
2 / 13 . ,24,0.120908,0.028335,0.00001,0.010982,0.001425,0.00001,0.00001,0.00001,0.00001,0.068566,70.05325,20.23379,90.5173,0.177459,0.039953,0.00001,0.014041,0.001408,0.000008,0.000007,0.000003,0.000002,0.011407,49.67513,50.08058,100,0.228454,0.060619,0.000012,0.025165,0.001994,0.000017,0.000013,0.000011,0.000011,0.077784,90.12323,90.51731,110,96,,250,241,,,,,525,1301,,-16671.3,-22724,47, , ,H-24B-Profile2,24,19.91727,124,"Tuesday, April 18, 2023 12:28:48 AM"
2 / 14 . ,26,0.183555,0.020933,0.00001,0.006603,0.00001,0.00001,0.019416,0.033493,0.00001,0.048971,69.44322,20.10701,89.86324,0.271174,0.02971,0.00001,0.008498,0.00001,0.000008,0.014087,0.009722,0.000002,0.008201,49.56545,50.09312,100,0.346826,0.044784,0.000012,0.015131,0.000014,0.000017,0.02507,0.037395,0.000011,0.055554,89.33842,89.86324,116,103,,231,,,297,587,,514,1254,,-16671.3,-22726,47, , ,H-24B-Profile2,26,19.76026,125,"Tuesday, April 18, 2023 12:33:37 AM"
2 / 15 . ,28,0.174806,0.037072,0.00001,0.006098,0.00001,0.00001,0.00001,0.035734,0.00001,0.045427,68.14302,19.73859,88.1808,0.263118,0.053608,0.00001,0.007996,0.00001,0.000008,0.000007,0.010568,0.000002,0.007751,49.55446,50.10246,100,0.330295,0.079311,0.000012,0.013974,0.000014,0.000017,0.000013,0.039898,0.000011,0.051534,87.66573,88.1808,115,101,,239,,,,595,,504,1283,,-16671.3,-22728,47, , ,H-24B-Profile2,28,19.38692,126,"Tuesday, April 18, 2023 12:38:27 AM"
2 / 16 . ,30,0.130963,0.025294,0.001867,0.01378,0.025592,0.001112,0.00001,0.00001,0.00001,0.039711,68.65388,19.84885,88.74107,0.195958,0.036359,0.001928,0.017962,0.025778,0.000937,0.000007,0.000003,0.000002,0.006735,49.63034,50.084,100,0.247453,0.054113,0.002249,0.031577,0.035808,0.001854,0.000013,0.000011,0.000011,0.045049,88.32293,88.74107,115,103,162,245,227,191,,,,500,1281,,-16671.4,-22730,47, , ,H-24B-Profile2,30,19.50282,127,"Tuesday, April 18, 2023 12:43:17 AM"
2 / 17 . ,32,0.061689,0.011836,0.00001,0.001708,0.01653,0.001162,0.00001,0.00001,0.00001,0.031505,69.46518,19.98367,89.57333,0.091593,0.016883,0.00001,0.002209,0.016523,0.000972,0.000007,0.000003,0.000002,0.005303,49.83036,50.03613,100,0.11656,0.025321,0.000012,0.003914,0.023129,0.001938,0.000013,0.000011,0.000011,0.035741,89.36667,89.57332,117,104,,260,217,197,,,,500,1275,,-16671.4,-22732,47, , ,H-24B-Profile2,32,19.70214,128,"Tuesday, April 18, 2023 12:48:06 AM"
2 / 18 . ,34,0.053536,0.011306,0.00001,0.014758,0.00001,0.00001,0.00001,0.00001,0.00001,0.038051,69.96083,20.12819,90.20673,0.078932,0.016014,0.00001,0.018954,0.00001,0.000008,0.000007,0.000003,0.000002,0.006359,49.83456,50.04514,100,0.101156,0.024188,0.000012,0.033817,0.000014,0.000017,0.000013,0.000011,0.000011,0.043167,90.00433,90.20673,124,110,,232,,,,,,505,1277,,-16671.4,-22734,47, , ,H-24B-Profile2,34,19.84586,129,"Tuesday, April 18, 2023 12:52:56 AM"
2 / 19 . ,36,0.04972,0.023,0.00001,0.004687,0.00001,0.00001,0.00001,0.005787,0.001754,0.045391,68.35958,19.66826,88.15823,0.075018,0.033338,0.00001,0.006161,0.00001,0.000008,0.000007,0.001715,0.000308,0.007763,49.83157,50.04408,100,0.093945,0.049205,0.000012,0.01074,0.000014,0.000017,0.000013,0.006461,0.001996,0.051493,87.94433,88.15823,116,103,,254,,,,605,474,513,1256,,-16671.4,-22736,47, , ,H-24B-Profile2,36,19.40393,130,"Tuesday, April 18, 2023 12:57:46 AM"
2 / 20 . ,38,0.079661,0.039446,0.00001,0.015734,0.00001,0.00001,0.00001,0.00001,0.00001,0.072444,67.72538,19.54893,87.48165,0.121017,0.057569,0.00001,0.020822,0.00001,0.000009,0.000007,0.000003,0.000002,0.012475,49.70718,50.08089,100,0.150519,0.08439,0.000012,0.036054,0.000014,0.000017,0.000013,0.000011,0.000011,0.082183,87.12843,87.48165,94,90,,238,,,,,,501,1273,,-16671.4,-22738,47, , ,H-24B-Profile2,38,19.25742,131,"Tuesday, April 18, 2023 1:02:33 AM"
2 / 21 . ,40,0.060091,0.052741,0.003729,0.006899,0.00001,0.00001,0.00001,0.046326,0.00001,0.046892,69.64055,20.08667,89.94393,0.088822,0.074894,0.003804,0.008884,0.00001,0.000008,0.000007,0.013454,0.000002,0.007857,49.73296,50.0693,100,0.113541,0.112832,0.004492,0.01581,0.000014,0.000017,0.000013,0.051723,0.000011,0.053196,89.59229,89.94393,114,100,155,221,,,,591,,522,1256,,-16671.5,-22740,47, , ,H-24B-Profile2,40,19.79951,132,"Tuesday, April 18, 2023 1:07:21 AM"
2 / 22 . ,42,0.039567,0.029188,0.00601,0.012751,0.00001,0.002192,0.00001,0.023852,0.00001,0.060724,70.01138,20.15654,90.34224,0.058262,0.04129,0.006107,0.016355,0.00001,0.001818,0.000007,0.006901,0.000002,0.010136,49.80719,50.05193,100,0.074761,0.062444,0.00724,0.029217,0.000014,0.003656,0.000013,0.026631,0.000011,0.068887,90.06936,90.34224,111,102,158,233,,197,,621,,518,1263,,-16671.5,-22742,47, , ,H-24B-Profile2,42,19.89749,133,"Tuesday, April 18, 2023 1:12:12 AM"
2 / 23 . ,44,0.125429,0.061975,0.000081,0.018997,0.005381,0.003902,0.00001,0.00001,0.00001,0.056943,69.52325,20.13728,89.93327,0.185104,0.087866,0.000083,0.024421,0.005346,0.003243,0.000007,0.000003,0.000002,0.009526,49.5695,50.11489,100,0.236997,0.132588,0.000098,0.043529,0.007529,0.006508,0.000013,0.000011,0.000011,0.064598,89.44138,89.93326,114,104,162,257,235,194,,,,520,1277,,-16671.5,-22744,47, , ,H-24B-Profile2,44,19.76921,134,"Tuesday, April 18, 2023 1:17:01 AM"
2 / 24 . ,46,0.083603,0.052226,0.002117,0.001581,0.00001,0.012246,0.00257,0.00001,0.00001,0.056603,69.22008,19.98416,89.41521,0.124236,0.074557,0.002171,0.002047,0.00001,0.010251,0.001876,0.000003,0.000002,0.009534,49.69609,50.07922,100,0.157968,0.11173,0.002551,0.003623,0.000014,0.020427,0.003318,0.000011,0.000011,0.064212,89.05135,89.41521,113,101,161,260,,184,310,,,499,1264,,-16671.5,-22746,47, , ,H-24B-Profile2,46,19.6702,135,"Tuesday, April 18, 2023 1:21:49 AM"
2 / 25 . ,48,0.08973,0.080042,0.00261,0.015197,0.00001,0.001958,0.01813,0.00001,0.00001,0.062471,69.09137,20.00056,89.36211,0.133315,0.114246,0.002676,0.019668,0.00001,0.001639,0.013229,0.000003,0.000002,0.010521,49.59408,50.11062,100,0.169545,0.17124,0.003144,0.034822,0.000014,0.003267,0.02341,0.000011,0.000011,0.07087,88.88577,89.36211,117,103,163,245,,192,294,,,477,1281,,-16671.6,-22748,47, , ,H-24B-Profile2,48,19.6519,136,"Tuesday, April 18, 2023 1:26:40 AM"
2 / 26 . ,50,0.204921,0.190225,0.003108,0.011284,0.010083,0.000666,0.015196,0.00001,0.000197,0.084694,69.65756,20.39114,90.56909,0.299309,0.266924,0.003132,0.014357,0.009915,0.000548,0.010901,0.000003,0.000033,0.014022,49.15528,50.22558,100,0.387196,0.406962,0.003743,0.025855,0.014109,0.001111,0.019622,0.000011,0.000224,0.09608,89.61417,90.56909,120,107,159,236,216,196,308,,447,486,1264,,-16671.6,-22750,47, , ,H-24B-Profile2,50,19.88187,137,"Tuesday, April 18, 2023 1:31:30 AM"
2 / 27 . ,52,0.05248,0.045222,0.00001,0.021297,0.00001,0.002692,0.00001,0.00001,0.00452,0.071735,69.99581,20.1913,90.3851,0.077186,0.063897,0.00001,0.027286,0.00001,0.00223,0.000007,0.000003,0.000773,0.011959,49.73745,50.07919,99.99999,0.099161,0.096747,0.000012,0.048801,0.000014,0.00449,0.000013,0.000011,0.005143,0.081378,90.04933,90.3851,121,104,,223,,195,,,478,514,1272,,-16671.6,-22752,47, , ,H-24B-Profile2,52,19.90123,138,"Tuesday, April 18, 2023 1:36:19 AM"
2 / 28 . ,54,0.016285,0.028949,0.003021,0.008333,0.00001,0.00001,0.008856,0.003887,0.00001,0.039767,70.05212,20.13688,90.29813,0.023996,0.04098,0.003072,0.010696,0.00001,0.000008,0.006409,0.001125,0.000002,0.006642,49.87,50.03707,100,0.03077,0.061933,0.00364,0.019095,0.000014,0.000017,0.011436,0.00434,0.000011,0.045113,90.12177,90.29813,115,102,161,245,,,309,621,,512,1240,,-16671.6,-22754,47, , ,H-24B-Profile2,54,19.87349,139,"Tuesday, April 18, 2023 1:41:09 AM"
2 / 29 . ,56,0.034055,0.01231,0.005055,0.001583,0.00001,0.00001,0.007947,0.00001,0.004118,0.04921,70.16968,20.16024,90.44422,0.05011,0.017402,0.005133,0.002029,0.00001,0.000008,0.005743,0.000003,0.000705,0.008208,49.88472,50.02593,100,0.064346,0.026337,0.006089,0.003628,0.000014,0.000017,0.010261,0.000011,0.004686,0.055826,90.27301,90.44422,113,101,162,257,,,307,,477,511,1261,,-16671.6,-22756,47, , ,H-24B-Profile2,56,19.91526,140,"Tuesday, April 18, 2023 1:45:58 AM"
2 / 30 . ,58,0.086961,0.372166,0.000654,0.00001,0.00001,0.00001,0.016438,0.018815,0.00001,0.026708,65.38472,19.24457,85.15108,0.134818,0.5543,0.000699,0.000014,0.00001,0.000009,0.012516,0.005731,0.000002,0.004694,48.97417,50.31304,100,0.164312,0.796202,0.000787,0.000023,0.000014,0.000017,0.021225,0.021007,0.000011,0.030299,84.11718,85.15108,107,100,156,,,,289,581,,487,1261,,-16671.7,-22758,47, , ,H-24B-Profile2,58,18.64236,141,"Tuesday, April 18, 2023 1:50:46 AM"
2 / 31 . ,60,0.050148,0.224559,0.000571,0.003373,0.00001,0.00001,0.014515,0.00001,0.00001,0.075389,65.89889,19.19908,85.46656,0.07775,0.334472,0.000611,0.004555,0.00001,0.000009,0.011052,0.000003,0.000002,0.013249,49.36172,50.19656,100,0.094754,0.480415,0.000688,0.007728,0.000014,0.000017,0.018742,0.000011,0.000011,0.085525,84.77866,85.46656,120,105,145,219,,,289,,,312,1242,,-16671.7,-22760,47, , ,H-24B-Profile2,60,18.78122,142,"Tuesday, April 18, 2023 1:55:37 AM"
2 / 32 . ,62,0.048749,0.068172,0.001549,0.001179,0.00001,0.00001,0.005839,0.020062,0.00001,0.073446,71.73362,20.68819,92.64083,0.069965,0.093995,0.001534,0.001474,0.00001,0.000008,0.004116,0.005657,0.000002,0.011949,49.7401,50.07119,100,0.092111,0.145845,0.001866,0.002702,0.000014,0.000017,0.00754,0.022399,0.000011,0.08332,92.285,92.64083,117,102,143,199,,,314,571,,472,1308,,-16671.7,-22762,47, , ,H-24B-Profile2,62,20.40243,143,"Tuesday, April 18, 2023 2:00:25 AM"
2 / 33 . ,64,0.05534,0.232796,0.004168,0.007597,0.00001,0.00001,0.005549,0.026607,0.00001,0.053435,68.37997,19.92763,88.69312,0.082666,0.334078,0.004296,0.009885,0.00001,0.000008,0.004071,0.007809,0.000002,0.009048,49.34955,50.19857,100,0.104564,0.498038,0.00502,0.017407,0.000014,0.000017,0.007165,0.029707,0.000011,0.060618,87.97056,88.69312,120,105,157,234,,,304,595,,516,1258,,-16671.7,-22764,47, , ,H-24B-Profile2,64,19.48018,144,"Tuesday, April 18, 2023 2:05:14 AM"
2 / 34 . ,66,0.068159,6.102037,0.019664,0.00001,0.00148,0.00001,0.00374,0.0081,0.00001,0.037611,62.44777,24.91589,93.60448,0.087226,7.502137,0.017366,0.000011,0.001275,0.000007,0.002351,0.002037,0.000001,0.005456,38.61086,53.77128,100,0.128785,13.05454,0.023687,0.000023,0.00207,0.000017,0.004829,0.009044,0.000011,0.042667,80.33881,93.60448,115,133,153,,218,,303,598,,509,1225,,-16671.8,-22766,47, , ,H-24B-Profile2,66,19.13696,145,"Tuesday, April 18, 2023 2:10:02 AM"
2 / 35 . ,68,0.078698,28.98998,0.023464,0.008269,0.00001,0.000912,0.00616,0.012229,0.017555,0.00001,30.94794,41.98861,102.0738,0.069203,24.49036,0.014239,0.006334,0.000006,0.000452,0.00266,0.002113,0.001795,0.000001,13.14805,62.26479,100,0.148699,62.02039,0.028266,0.018948,0.000014,0.001521,0.007954,0.013653,0.019975,0.000011,39.8144,102.0738,100,195,154,250,,194,294,613,418,,943,,-16671.8,-22768,47, , ,H-24B-Profile2,68,15.50448,146,"Tuesday, April 18, 2023 2:14:51 AM"
2 / 36 . ,70,0.070567,15.97243,0.012627,0.00001,0.007319,0.006988,0.000723,0.016141,0.03575,0.020789,47.60521,31.92003,95.66859,0.076478,16.62994,0.009444,0.000009,0.005339,0.004266,0.000385,0.003437,0.004505,0.002554,24.92624,58.33739,99.99999,0.133335,34.17099,0.015211,0.000023,0.01024,0.011657,0.000934,0.018022,0.04068,0.023584,61.24392,95.66859,107,162,157,,223,195,306,634,464,500,1133,,-16671.8,-22770,47, , ,H-24B-Profile2,70,17.24219,147,"Tuesday, April 18, 2023 2:19:40 AM"
2 / 37 . ,72,0.04341,0.619225,0.000492,0.001118,0.00001,0.00001,0.00001,0.00001,0.008876,0.016122,69.39156,20.6295,90.71033,0.062953,0.862697,0.000492,0.001413,0.00001,0.000008,0.000007,0.000003,0.001497,0.00265,48.61817,50.4501,100,0.082023,1.324754,0.000593,0.002563,0.000014,0.000017,0.000013,0.000011,0.0101,0.01829,89.27196,90.71033,112,103,155,233,,,,,488,538,1289,,-16671.8,-22772,47, , ,H-24B-Profile2,72,19.80759,148,"Tuesday, April 18, 2023 2:24:30 AM"
2 / 38 . ,74,0.074813,0.056375,0.00001,0.006706,0.00001,0.006273,0.006321,0.000976,0.00001,0.063167,69.59594,20.09304,89.90364,0.110577,0.08005,0.00001,0.008634,0.00001,0.005223,0.004589,0.000283,0.000002,0.010583,49.69799,50.08205,99.99999,0.141359,0.120607,0.000012,0.015367,0.000014,0.010464,0.008162,0.00109,0.000011,0.07166,89.5349,89.90364,111,98,,242,,193,313,622,,527,1261,,-16671.9,-22774,47, , ,H-24B-Profile2,74,19.78264,149,"Tuesday, April 18, 2023 2:29:19 AM"
2 / 39 . ,76,0.038745,0.019845,0.00001,0.008201,0.00001,0.003197,0.005422,0.00001,0.00001,0.046696,68.86324,19.80671,88.7921,0.058048,0.028564,0.00001,0.010703,0.00001,0.002698,0.00399,0.000003,0.000002,0.00793,49.84591,50.04213,100,0.073208,0.042457,0.000012,0.018792,0.000014,0.005333,0.007002,0.000011,0.000011,0.052974,88.59229,88.7921,112,101,,248,,195,305,,,502,1239,,-16671.9,-22776,47, , ,H-24B-Profile2,76.01,19.54306,150,"Tuesday, April 18, 2023 2:34:09 AM"
2 / 40 . ,78,0.040448,0.298849,0.00001,0.011883,0.017962,0.00001,0.019435,0.012728,0.006918,0.043025,68.34696,19.99401,88.79224,0.060276,0.427838,0.00001,0.015426,0.018019,0.000008,0.014224,0.003726,0.001199,0.007268,49.20722,50.24479,100,0.076427,0.63935,0.000012,0.02723,0.025132,0.000017,0.025095,0.01421,0.007872,0.04881,87.92809,88.79224,114,99,,241,228,,291,617,457,500,1259,,-16671.9,-22778,47, , ,H-24B-Profile2,78.01,19.48,151,"Tuesday, April 18, 2023 2:38:57 AM"
2 / 41 . ,80,0.081795,0.043521,0.00336,0.008091,0.00001,0.005875,0.00001,0.006179,0.00001,0.062393,71.019,20.49318,91.72343,0.118518,0.060582,0.00336,0.010213,0.00001,0.004795,0.000007,0.001759,0.000002,0.010248,49.71624,50.07427,100,0.154552,0.093109,0.004047,0.018541,0.000014,0.009799,0.000013,0.006899,0.000011,0.070781,91.36566,91.72343,117,102,159,233,,197,,623,,512,1310,,-16671.9,-22780,47, , ,H-24B-Profile2,80.01,20.18514,152,"Tuesday, April 18, 2023 2:43:47 AM"
2 / 42 . ,82,0.087971,0.024045,0.00001,0.003384,0.00001,0.00001,0.012918,0.000325,0.00001,0.042882,70.29292,20.25823,90.72271,0.128899,0.033847,0.00001,0.004319,0.00001,0.000008,0.009296,0.000094,0.000002,0.007122,49.76045,50.05595,100,0.166222,0.051442,0.000012,0.007754,0.000014,0.000017,0.01668,0.000363,0.000011,0.048647,90.43155,90.72271,114,103,,239,,,300,617,,530,1279,,-16671.9,-22782,47, , ,H-24B-Profile2,82.01,19.95501,153,"Tuesday, April 18, 2023 2:48:36 AM"
2 / 43 . ,84,0.103105,0.024947,0.00001,0.013459,0.00001,0.002334,0.00001,0.00001,0.004135,0.066816,68.96614,19.90716,89.08813,0.153799,0.03575,0.00001,0.017489,0.00001,0.001961,0.000007,0.000003,0.000717,0.011298,49.70253,50.07643,100,0.194816,0.05337,0.000012,0.030841,0.000014,0.003894,0.000013,0.000011,0.004705,0.075799,88.72466,89.08813,115,101,,233,,191,,,485,518,1242,,-16672,-22784,47, , ,H-24B-Profile2,84.01,19.6084,154,"Tuesday, April 18, 2023 2:53:26 AM"
