DataSet/Point,Distance (µm),Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
2 / 44 . ,86,0.071141,0.027837,0.001554,0.003142,0.000975,0.00001,0.00001,0.00001,0.00001,0.057028,69.95385,20.14894,90.2645,0.104798,0.039395,0.00158,0.004032,0.000967,0.000008,0.000007,0.000003,0.000002,0.009523,49.78639,50.05329,100,0.13442,0.059553,0.001872,0.0072,0.001364,0.000017,0.000013,0.000011,0.000011,0.064695,89.99535,90.2645,106,98,161,257,228,,,,,508,1293,,-16672,-22786,47, , ,H-24B-Profile2,86.01,19.86651,155,"Tuesday, April 18, 2023 2:58:16 AM"
2 / 45 . ,88,0.054218,0.242175,0.00001,0.012533,0.00001,0.00001,0.00001,0.00001,0.00001,0.049485,67.40528,19.65835,87.4221,0.082123,0.352402,0.00001,0.016537,0.00001,0.000009,0.000007,0.000003,0.000002,0.008496,49.32701,50.21339,100,0.102444,0.518103,0.000012,0.028719,0.000014,0.000017,0.000013,0.000011,0.000011,0.056138,86.71661,87.4221,117,102,,240,,,,,,463,1273,,-16672,-22788,47, , ,H-24B-Profile2,88.01,19.18642,156,"Tuesday, April 18, 2023 3:03:06 AM"
2 / 46 . ,90,0.073252,4.325788,0.004104,0.003049,0.007543,0.00001,0.00001,0.006041,0.010868,0.035393,57.80315,21.56898,83.83819,0.106866,6.06276,0.004132,0.003875,0.007408,0.000008,0.000007,0.001732,0.001844,0.005853,40.74169,53.06382,100,0.13841,9.254476,0.004944,0.006987,0.010554,0.000017,0.000013,0.006745,0.012367,0.040152,74.36353,83.83819,117,123,165,275,203,,,577,327,377,1177,,-16672,-22790,47, , ,H-24B-Profile2,90.01,17.41795,157,"Tuesday, April 18, 2023 3:07:55 AM"
2 / 47 . ,92,0.059002,6.682707,0.002465,0.001971,0.00001,0.005216,0.004499,0.00001,0.00001,0.063644,51.61129,22.46942,80.90024,0.085114,9.261263,0.002454,0.002476,0.00001,0.004238,0.003188,0.000003,0.000002,0.010407,35.97037,54.66048,100,0.111484,14.29681,0.002969,0.004516,0.000014,0.0087,0.005809,0.000011,0.000011,0.0722,66.39772,80.90024,109,130,164,274,,160,289,,,314,1111,,-16672.1,-22792,47, , ,H-24B-Profile2,92.01,16.22134,158,"Tuesday, April 18, 2023 3:12:44 AM"
2 / 48 . ,94,0.044454,3.810804,0.00001,0.00001,0.00001,0.006694,0.00553,0.00001,0.000604,0.086579,65.55524,23.18061,92.69055,0.059683,4.915136,0.000009,0.000012,0.000009,0.005063,0.003646,0.000003,0.000094,0.013176,42.52151,52.48166,100,0.083996,8.152734,0.000012,0.000023,0.000014,0.011167,0.00714,0.000011,0.000688,0.098218,84.33655,92.69055,116,124,,,,192,316,,340,366,1216,,-16672.1,-22794,47, , ,H-24B-Profile2,94.01,19.52116,159,"Tuesday, April 18, 2023 3:17:34 AM"
2 / 49 . ,96,0.116479,0.326117,0.006346,0.012428,0.000197,0.00001,0.002134,0.021607,0.02993,0.047854,69.97258,20.55317,91.08885,0.168993,0.454547,0.006354,0.015706,0.000193,0.000008,0.001521,0.006159,0.005049,0.00787,49.04742,50.28617,100,0.220086,0.697685,0.007644,0.028477,0.000276,0.000017,0.002756,0.024124,0.034057,0.054288,90.01944,91.08885,126,112,159,264,222,,311,603,457,505,1266,,-16672.1,-22796,47, , ,H-24B-Profile2,96.01,19.98463,160,"Tuesday, April 18, 2023 3:22:22 AM"
2 / 50 . ,98,0.230525,0.137572,0.001484,0.010902,0.00001,0.00001,0.00001,0.00001,0.001785,0.063538,70.26206,20.51478,91.22269,0.334473,0.19176,0.001486,0.013779,0.00001,0.000008,0.000007,0.000003,0.000301,0.01045,49.25288,50.19484,100,0.435575,0.294318,0.001788,0.024982,0.000014,0.000017,0.000013,0.000011,0.002031,0.072079,90.39186,91.22269,123,111,165,273,,,,,446,487,1324,,-16672.1,-22798,47, , ,H-24B-Profile2,98.01,20.02054,161,"Tuesday, April 18, 2023 3:27:10 AM"
2 / 51 . ,100,2.273021,2.553884,0.18732,0.050507,0.04102,0.002358,0.01585,0.022648,0.00001,0.028082,56.79727,21.33639,83.30836,3.324808,3.588798,0.189085,0.064356,0.040392,0.001943,0.011387,0.006509,0.000002,0.004656,40.13817,52.62989,100,4.294858,5.463712,0.225648,0.115733,0.057395,0.003934,0.020467,0.025286,0.000011,0.031857,73.06946,83.30836,117,106,161,257,201,192,304,572,,491,1178,,-16672.2,-22800,47, , ,H-24B-Profile2,100.01,17.22162,162,"Tuesday, April 18, 2023 3:31:58 AM"
2 / 52 . ,102,0.299708,0.362477,0.014615,0.022308,0.00001,0.00001,0.00001,0.005906,0.010127,0.058327,70.17198,20.82531,91.77079,0.429949,0.499556,0.014468,0.027877,0.00001,0.000008,0.000007,0.001665,0.001689,0.009485,48.63514,50.38015,100,0.566296,0.775473,0.017605,0.051116,0.000014,0.000017,0.000013,0.006594,0.011524,0.066169,90.27597,91.77079,126,109,155,230,,,,600,469,504,1294,,-16672.2,-22802,47, , ,H-24B-Profile2,102.01,20.07266,163,"Tuesday, April 18, 2023 3:36:49 AM"
2 / 53 . ,104,0.085929,0.048163,0.00214,0.006665,0.00001,0.005463,0.015479,0.00001,0.00001,0.065864,71.0881,20.52383,91.84166,0.124332,0.066949,0.002137,0.008401,0.00001,0.004453,0.010999,0.000003,0.000002,0.010802,49.69396,50.07796,100,0.162363,0.10304,0.002578,0.015273,0.000014,0.009113,0.019987,0.000011,0.000011,0.074718,91.45454,91.84166,114,103,160,241,,199,309,,,476,1290,,-16672.2,-22804,47, , ,H-24B-Profile2,104.01,20.20981,164,"Tuesday, April 18, 2023 3:41:37 AM"
2 / 54 . ,106,0.086117,0.027751,0.001399,0.000816,0.00001,0.000232,0.00001,0.036251,0.009303,0.04967,71.36711,20.56829,92.14697,0.124279,0.038474,0.001393,0.001026,0.00001,0.000189,0.000007,0.010278,0.001561,0.008125,49.75899,50.05567,100,0.162718,0.05937,0.001685,0.00187,0.000014,0.000387,0.000013,0.040475,0.010586,0.056347,91.8135,92.14697,112,104,161,250,,203,,620,460,492,1294,,-16672.2,-22806,47, , ,H-24B-Profile2,106.01,20.29081,165,"Tuesday, April 18, 2023 3:46:26 AM"
2 / 55 . ,108,0.08165,0.030159,0.004448,0.002484,0.00001,0.00001,0.011796,0.017325,0.00001,0.067418,70.82736,20.41739,91.46006,0.118708,0.042123,0.004463,0.003146,0.00001,0.000008,0.008423,0.004949,0.000002,0.011111,49.74952,50.05754,100,0.154278,0.06452,0.005358,0.005692,0.000014,0.000017,0.015232,0.019343,0.000011,0.076482,91.11912,91.46006,116,101,162,231,,,310,623,,522,1276,,-16672.2,-22808,47, , ,H-24B-Profile2,108.01,20.13925,166,"Tuesday, April 18, 2023 3:51:14 AM"
2 / 56 . ,110,0.08386,0.016648,0.008058,0.00001,0.00001,0.008232,0.008628,0.00001,0.017207,0.053014,71.23057,20.52001,91.94626,0.12129,0.023132,0.008043,0.000013,0.00001,0.006707,0.006129,0.000003,0.002894,0.008692,49.77405,50.04904,100,0.158454,0.035617,0.009707,0.000023,0.000014,0.013732,0.011141,0.000011,0.01958,0.060141,91.63784,91.94626,113,102,155,,,199,317,,493,534,1248,,-16672.3,-22810,47, , ,H-24B-Profile2,110.01,20.24455,167,"Tuesday, April 18, 2023 3:56:04 AM"
2 / 57 . ,112,0.084397,0.015083,0.00001,0.005031,0.00001,0.004998,0.001489,0.00001,0.024739,0.073557,70.94241,20.44055,91.59229,0.122559,0.021043,0.00001,0.006364,0.00001,0.004088,0.001062,0.000003,0.004177,0.012108,49.77246,50.05612,100,0.159468,0.032269,0.000012,0.011528,0.000014,0.008337,0.001922,0.000011,0.028151,0.083446,91.26713,91.59229,116,103,,247,,199,315,,494,524,1313,,-16672.3,-22812,47, , ,H-24B-Profile2,112.01,20.18553,168,"Tuesday, April 18, 2023 4:00:53 AM"
2 / 58 . ,114,0.088252,0.019265,0.00001,0.008947,0.0013,0.00001,0.000424,0.007514,0.001783,0.033511,71.11401,20.49216,91.76719,0.127835,0.026809,0.00001,0.01129,0.001268,0.000008,0.000302,0.002138,0.0003,0.005502,49.7678,50.05674,100,0.166751,0.041215,0.000012,0.020502,0.001819,0.000017,0.000548,0.008389,0.002028,0.038016,91.4879,91.76719,116,101,,237,228,,318,623,501,541,1240,,-16672.3,-22814,47, , ,H-24B-Profile2,114.01,20.18154,169,"Tuesday, April 18, 2023 4:05:42 AM"
2 / 59 . ,116,0.083595,0.018309,0.005605,0.00361,0.007413,0.00001,0.00323,0.00001,0.022207,0.068791,70.83936,20.41244,91.46458,0.121553,0.025576,0.005625,0.004572,0.007257,0.000008,0.002307,0.000003,0.003755,0.011338,49.76526,50.05275,100,0.157952,0.039169,0.006752,0.008271,0.010373,0.000017,0.00417,0.000011,0.025269,0.078039,91.13455,91.46458,117,103,158,234,221,,313,,489,523,1296,,-16672.3,-22816,47, , ,H-24B-Profile2,116.01,20.15184,170,"Tuesday, April 18, 2023 4:10:30 AM"
2 / 60 . ,118,0.07947,0.023435,0.002644,0.004096,0.001059,0.00001,0.00001,0.026883,0.00001,0.061764,70.69987,20.37031,91.26956,0.115796,0.032804,0.002658,0.005199,0.001038,0.000008,0.000007,0.007696,0.000002,0.010201,49.7709,50.05368,100,0.150158,0.050135,0.003184,0.009385,0.001481,0.000017,0.000013,0.030015,0.000011,0.070067,90.95509,91.26956,117,101,159,240,233,,,607,,525,1304,,-16672.4,-22818,47, , ,H-24B-Profile2,118.01,20.09842,171,"Tuesday, April 18, 2023 4:15:20 AM"
2 / 61 . ,120,0.073897,0.044491,0.00001,0.012981,0.00001,0.00001,0.00001,0.016731,0.001193,0.036484,70.05608,20.21101,90.4529,0.108569,0.062796,0.00001,0.016613,0.00001,0.000008,0.000007,0.004829,0.000204,0.006076,49.72673,50.07414,100,0.139629,0.095183,0.000012,0.029745,0.000014,0.000017,0.000013,0.01868,0.001358,0.041389,90.12687,90.4529,113,101,,226,,,,622,496,529,1301,,-16672.4,-22820,47, , ,H-24B-Profile2,120.01,19.89326,172,"Tuesday, April 18, 2023 4:20:09 AM"
2 / 62 . ,122,0.15165,0.144996,0.00001,0.017634,0.00001,0.00001,0.00001,0.00001,0.00001,0.045098,68.15322,19.85457,88.36723,0.227292,0.208777,0.00001,0.023023,0.00001,0.000008,0.000007,0.000003,0.000002,0.007662,49.35089,50.18231,100,0.286542,0.3102,0.000012,0.040406,0.000014,0.000017,0.000013,0.000011,0.000011,0.05116,87.67884,88.36723,124,107,,241,,,,,,495,1288,,-16672.4,-22822,47, , ,H-24B-Profile2,122.01,19.39237,173,"Tuesday, April 18, 2023 4:24:56 AM"
2 / 63 . ,124,0.133347,0.10477,0.002159,0.004699,0.00001,0.00001,0.00001,0.031642,0.00001,0.056374,67.9632,19.72695,88.02319,0.200963,0.15169,0.002245,0.006169,0.00001,0.000008,0.000007,0.009369,0.000002,0.00963,49.48494,50.13497,100,0.251959,0.224143,0.0026,0.010768,0.000014,0.000017,0.000013,0.035329,0.000011,0.063953,87.43438,88.02319,129,112,157,254,,,,587,,495,1281,,-16672.4,-22824,47, , ,H-24B-Profile2,124.01,19.35131,174,"Tuesday, April 18, 2023 4:29:46 AM"
2 / 64 . ,126,0.106362,0.096707,0.00001,0.009514,0.002665,0.01336,0.002365,0.026645,0.01594,0.060228,68.27557,19.80183,88.41119,0.159676,0.139474,0.00001,0.012442,0.002693,0.011298,0.001744,0.007859,0.002783,0.010249,49.52063,50.13115,100,0.200969,0.206891,0.000012,0.021801,0.003729,0.022285,0.003054,0.029749,0.018138,0.068324,87.83624,88.41119,127,112,,252,217,189,306,589,460,497,1297,,-16672.5,-22826,47, , ,H-24B-Profile2,126.01,19.45333,175,"Tuesday, April 18, 2023 4:34:34 AM"
2 / 65 . ,128,0.096412,0.058121,0.003232,0.00001,0.00001,0.00001,0.000236,0.00001,0.005781,0.054194,69.52928,20.08068,89.82798,0.142587,0.082579,0.003299,0.000013,0.00001,0.000008,0.000171,0.000003,0.000994,0.009085,49.68008,50.08117,100,0.182171,0.124344,0.003894,0.000023,0.000014,0.000017,0.000305,0.000011,0.006578,0.06148,89.44914,89.82798,125,111,159,,,,313,,481,514,1323,,-16672.5,-22828,47, , ,H-24B-Profile2,128.01,19.76048,176,"Tuesday, April 18, 2023 4:39:24 AM"
2 / 66 . ,130,0.089623,0.028593,0.009196,0.00001,0.00001,0.00001,0.001513,0.00001,0.00001,0.017046,70.08353,20.19558,90.42513,0.131716,0.04037,0.009327,0.000013,0.00001,0.000008,0.001092,0.000003,0.000002,0.00284,49.76241,50.05222,100,0.169343,0.061171,0.011078,0.000023,0.000014,0.000017,0.001954,0.000011,0.000011,0.019337,90.16218,90.42513,123,109,158,,,,316,,,526,1257,,-16672.5,-22830,47, , ,H-24B-Profile2,130.01,19.87085,177,"Tuesday, April 18, 2023 4:44:12 AM"
2 / 67 . ,132,0.081502,0.018223,0.00001,0.014936,0.00001,0.00001,0.002318,0.00001,0.00001,0.05391,69.832,20.12707,90.13001,0.120211,0.025822,0.00001,0.019191,0.00001,0.000008,0.001679,0.000003,0.000002,0.009013,49.76219,50.06186,100,0.153997,0.038986,0.000012,0.034226,0.000014,0.000017,0.002992,0.000011,0.000011,0.061157,89.83858,90.13001,125,109,,243,,,317,,,520,1317,,-16672.5,-22832,47, , ,H-24B-Profile2,132.01,19.83207,178,"Tuesday, April 18, 2023 4:49:00 AM"
2 / 68 . ,134,0.071766,0.015035,0.003637,0.003825,0.00001,0.00001,0.00001,0.00001,0.004772,0.051029,70.2157,20.2107,90.5765,0.105377,0.021208,0.003686,0.004892,0.00001,0.000008,0.000007,0.000003,0.000815,0.008493,49.81115,50.04435,100,0.135602,0.032165,0.004381,0.008765,0.000014,0.000017,0.000013,0.000011,0.00543,0.057889,90.33221,90.57651,120,106,163,236,,,,,482,523,1319,,-16672.5,-22834,47, , ,H-24B-Profile2,134.01,19.93689,179,"Tuesday, April 18, 2023 4:53:48 AM"
2 / 69 . ,136,0.048262,0.014658,0.003139,0.009316,0.00001,0.012068,0.008901,0.00001,0.00001,0.06572,70.28347,20.22773,90.67329,0.070808,0.02066,0.003178,0.011906,0.00001,0.009974,0.006414,0.000003,0.000002,0.01093,49.8195,50.04662,100,0.091191,0.031359,0.003781,0.021346,0.000014,0.02013,0.011493,0.000011,0.000011,0.074556,90.4194,90.67329,122,104,162,237,,189,309,,,517,1267,,-16672.6,-22836,47, , ,H-24B-Profile2,136.01,19.9676,180,"Tuesday, April 18, 2023 4:58:38 AM"
2 / 70 . ,138,0.030638,0.003139,0.00001,0.003685,0.00001,0.00001,0.00001,0.00001,0.040322,0.047768,70.23126,20.16856,90.52542,0.045063,0.004435,0.00001,0.004721,0.00001,0.000008,0.000007,0.000003,0.006896,0.007964,49.90643,50.02446,100,0.057891,0.006715,0.000012,0.008443,0.000014,0.000017,0.000013,0.000011,0.045883,0.054189,90.35223,90.52542,115,105,,255,,,,,478,523,1282,,-16672.6,-22838,47, , ,H-24B-Profile2,138.01,19.95884,181,"Tuesday, April 18, 2023 5:03:27 AM"
2 / 71 . ,140,0.021228,0.02095,0.00001,0.012799,0.00001,0.007911,0.00001,0.00001,0.00001,0.048923,67.43809,19.39189,86.94184,0.032485,0.0308,0.000011,0.017063,0.00001,0.006819,0.000008,0.000003,0.000002,0.008487,49.86034,50.04397,100,0.040109,0.04482,0.000012,0.029329,0.000014,0.013195,0.000013,0.000011,0.000011,0.0555,86.75882,86.94184,101,92,,243,,186,,,,507,1279,,-16672.6,-22840,47, , ,H-24B-Profile2,140.01,19.13964,182,"Tuesday, April 18, 2023 5:08:14 AM"
2 / 72 . ,142,0.037171,0.053513,0.002567,0.005267,0.001677,0.002701,0.00001,0.00001,0.00001,0.057542,60.59157,17.47082,78.22286,0.063173,0.087372,0.00301,0.007798,0.001919,0.002585,0.000008,0.000003,0.000002,0.011085,49.75164,50.07141,100,0.070234,0.114484,0.003092,0.01207,0.002347,0.004505,0.000013,0.000011,0.000011,0.065278,77.95081,78.22286,80,75,160,267,225,154,,,,467,1180,,-16672.6,-22842,47, , ,H-24B-Profile2,142.01,17.21896,183,"Tuesday, April 18, 2023 5:13:03 AM"
2 / 73 . ,144,0.088623,0.026624,0.00001,0.00001,0.00001,0.00001,0.003968,0.00001,0.014159,0.062365,66.43635,19.15443,85.78657,0.13735,0.03964,0.000011,0.000014,0.00001,0.000009,0.00302,0.000003,0.002552,0.010956,49.74551,50.06093,100,0.167453,0.056959,0.000012,0.000023,0.000014,0.000017,0.005124,0.000011,0.016111,0.070749,85.4701,85.78657,114,102,,,,,300,,494,531,1253,,-16672.7,-22844,47, , ,H-24B-Profile2,144.01,18.89218,184,"Tuesday, April 18, 2023 5:17:53 AM"
2 / 74 . ,146,0.060864,0.02311,0.00001,0.000685,0.007549,0.009456,0.005654,0.00001,0.00001,0.063084,71.07745,20.46422,91.7121,0.088268,0.032198,0.00001,0.000865,0.00737,0.007725,0.004027,0.000003,0.000002,0.01037,49.8013,50.04786,100,0.115002,0.049441,0.000012,0.001569,0.010563,0.015774,0.007301,0.000011,0.000011,0.071564,91.44086,91.7121,118,104,,237,233,200,316,,,533,1299,,-16672.7,-22846,47, , ,H-24B-Profile2,146.01,20.19158,185,"Tuesday, April 18, 2023 5:22:42 AM"
2 / 75 . ,148,0.047266,0.018107,0.002907,0.004221,0.000322,0.008094,0.008185,0.00001,0.00001,0.052228,71.48058,20.56256,92.18449,0.068209,0.025102,0.002895,0.005306,0.000313,0.00658,0.005801,0.000003,0.000002,0.008544,49.83682,50.04042,100,0.089308,0.038737,0.003502,0.009672,0.000451,0.013502,0.010569,0.000011,0.000011,0.059249,91.95948,92.18449,118,104,160,253,233,199,311,,,534,1272,,-16672.7,-22848,47, , ,H-24B-Profile2,148.01,20.29178,186,"Tuesday, April 18, 2023 5:27:30 AM"
2 / 76 . ,150,0.040607,0.017762,0.00001,0.000068,0.00001,0.003616,0.003803,0.003615,0.016537,0.050374,70.69781,20.32408,91.15829,0.059281,0.024911,0.00001,0.000087,0.00001,0.002973,0.002726,0.001037,0.002807,0.008336,49.86343,50.0344,100,0.076727,0.038,0.000012,0.000157,0.000014,0.006031,0.00491,0.004036,0.018817,0.057146,90.95245,91.15829,118,103,,238,,191,315,622,487,537,1277,,-16672.7,-22850,47, , ,H-24B-Profile2,150.01,20.08013,187,"Tuesday, April 18, 2023 5:32:19 AM"
2 / 77 . ,152,0.05375,0.010902,0.005721,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.087018,70.95095,20.40029,91.50869,0.078172,0.015232,0.005742,0.000013,0.00001,0.000008,0.000007,0.000003,0.000002,0.014346,49.85355,50.03291,100,0.101561,0.023323,0.006892,0.000023,0.000014,0.000017,0.000013,0.000011,0.000011,0.098717,91.27811,91.50869,118,106,157,,,,,,,531,1319,,-16672.8,-22852,47, , ,H-24B-Profile2,152.01,20.16895,188,"Tuesday, April 18, 2023 5:37:08 AM"
2 / 78 . ,154,0.035975,0.01404,0.007051,0.00001,0.00001,0.00001,0.001309,0.017114,0.00001,0.042106,70.86135,20.35899,91.33798,0.052418,0.019654,0.00709,0.000013,0.00001,0.000008,0.000937,0.004899,0.000002,0.006954,49.88337,50.02465,100,0.067974,0.030037,0.008494,0.000023,0.000014,0.000017,0.001691,0.019108,0.000011,0.047767,91.16284,91.33798,115,104,159,,,,321,621,,538,1279,,-16672.8,-22854,47, , ,H-24B-Profile2,154.01,20.10932,189,"Tuesday, April 18, 2023 5:41:57 AM"
2 / 79 . ,156,0.03363,0.006539,0.002487,0.00001,0.00001,0.004919,0.00001,0.002302,0.007576,0.03051,70.80071,20.33071,91.21942,0.049066,0.009166,0.002504,0.000013,0.00001,0.004042,0.000007,0.00066,0.001285,0.005046,49.90678,50.02142,100,0.063544,0.01399,0.002995,0.000023,0.000014,0.008204,0.000013,0.00257,0.008621,0.034612,91.08483,91.21942,115,106,161,,,198,,621,493,534,1315,,-16672.8,-22856,47, , ,H-24B-Profile2,156.01,20.07767,190,"Tuesday, April 18, 2023 5:46:47 AM"
2 / 80 . ,158,0.033103,0.010242,0.00001,0.002395,0.00001,0.00001,0.00001,0.00001,0.00001,0.059645,70.76453,20.32599,91.19597,0.048313,0.01436,0.00001,0.003045,0.00001,0.000008,0.000007,0.000003,0.000002,0.009868,49.8979,50.02648,100,0.062548,0.021911,0.000012,0.005488,0.000014,0.000017,0.000013,0.000011,0.000011,0.067663,91.03828,91.19597,116,105,,256,,,,,,525,1298,,-16672.8,-22858,47, , ,H-24B-Profile2,158.01,20.08585,191,"Tuesday, April 18, 2023 5:51:36 AM"
2 / 81 . ,160,0.039773,0.02053,0.007853,0.002869,0.002315,0.006918,0.000353,0.00001,0.008351,0.060669,68.62083,19.73863,88.50909,0.059791,0.02965,0.008147,0.003757,0.002342,0.005858,0.00026,0.000003,0.00146,0.010338,49.83901,50.03939,100,0.075151,0.043921,0.00946,0.006574,0.003239,0.01154,0.000455,0.000011,0.009503,0.068825,88.28042,88.50909,103,93,159,253,231,187,310,,447,487,1268,,-16672.8,-22860,47, , ,H-24B-Profile2,160.01,19.49588,192,"Tuesday, April 18, 2023 5:56:25 AM"
2 / 82 . ,162,0.128463,0.023172,0.00001,0.00001,0.00001,0.001092,0.00001,0.013776,0.00001,0.057441,70.65207,20.39228,91.26834,0.187036,0.032411,0.00001,0.000013,0.00001,0.000895,0.000007,0.003941,0.000002,0.00948,49.69803,50.06816,100,0.24273,0.049574,0.000012,0.000023,0.000014,0.001821,0.000013,0.015381,0.000011,0.065163,90.8936,91.26834,115,102,,,,198,,625,,493,1279,,-16672.9,-22862,47, , ,H-24B-Profile2,162.01,20.08168,193,"Tuesday, April 18, 2023 6:01:15 AM"
2 / 83 . ,164,0.130602,0.012423,0.00001,0.009908,0.003595,0.00001,0.00001,0.01739,0.00001,0.036871,71.14943,20.53558,91.89584,0.188824,0.017255,0.00001,0.012479,0.003499,0.000008,0.000007,0.00494,0.000002,0.006043,49.69872,50.06822,100,0.246773,0.026577,0.000012,0.022704,0.005031,0.000017,0.000013,0.019416,0.000011,0.041827,91.53345,91.89584,115,106,,239,233,,,617,,537,1316,,-16672.9,-22864,47, , ,H-24B-Profile2,164.01,20.2063,194,"Tuesday, April 18, 2023 6:06:03 AM"
2 / 84 . ,166,0.13072,0.009602,0.004304,0.023487,0.00001,0.00334,0.00001,0.00001,0.00001,0.051849,70.8588,20.4684,91.55054,0.189662,0.013383,0.004309,0.029686,0.00001,0.00273,0.000007,0.000003,0.000002,0.008527,49.67076,50.08093,100,0.246994,0.020541,0.005184,0.053819,0.000014,0.005571,0.000013,0.000011,0.000011,0.058819,91.15957,91.55054,116,103,157,224,,198,,,,534,1291,,-16672.9,-22866,47, , ,H-24B-Profile2,166.01,20.1319,195,"Tuesday, April 18, 2023 6:10:55 AM"
2 / 85 . ,168,0.122635,0.008729,0.00001,0.002807,0.00001,0.005632,0.00001,0.00001,0.008968,0.044893,70.6224,20.36673,91.18283,0.178747,0.012223,0.00001,0.003564,0.00001,0.004624,0.000007,0.000003,0.00152,0.007417,49.73163,50.06025,100,0.231719,0.018675,0.000012,0.006432,0.000014,0.009394,0.000013,0.000011,0.010205,0.050929,90.85542,91.18283,116,103,,240,,197,,,496,527,1283,,-16672.9,-22868,47, , ,H-24B-Profile2,168.01,20.05937,196,"Tuesday, April 18, 2023 6:15:45 AM"
2 / 86 . ,170,0.05139,0.014576,0.000498,0.010664,0.000866,0.012524,0.00001,0.00001,0.00001,0.025618,67.61912,19.46096,87.19624,0.078371,0.021355,0.000524,0.014167,0.000889,0.010758,0.000007,0.000003,0.000002,0.004429,49.82113,50.04836,100,0.097101,0.031184,0.0006,0.024437,0.001211,0.020891,0.000013,0.000011,0.000011,0.029062,86.99172,87.19624,89,86,157,242,229,181,,,,505,1292,,-16673,-22870,47, , ,H-24B-Profile2,170.01,19.17478,197,"Tuesday, April 18, 2023 6:20:33 AM"
2 / 87 . ,172,0.041181,0.009208,0.00001,0.009739,0.00001,0.00001,0.001994,0.00001,0.008215,0.053707,67.24026,19.33271,86.69706,0.063205,0.013578,0.000011,0.013021,0.00001,0.000009,0.001503,0.000003,0.001466,0.009344,49.86008,50.03777,100,0.077811,0.0197,0.000012,0.022316,0.000014,0.000017,0.002574,0.000011,0.009348,0.060927,86.50433,86.69706,65,62,,242,,,303,,452,502,1298,,-16673,-22872,47, , ,H-24B-Profile2,172.01,19.0945,198,"Tuesday, April 18, 2023 6:25:24 AM"
2 / 88 . ,174,0.084637,0.017697,0.002335,0.00001,0.00001,0.001491,0.00001,0.016548,0.00001,0.062355,71.2979,20.53381,92.01681,0.122329,0.024573,0.002329,0.000013,0.00001,0.001214,0.000007,0.004699,0.000002,0.010216,49.78659,50.04801,100,0.159921,0.037861,0.002813,0.000023,0.000014,0.002488,0.000013,0.018476,0.000011,0.070738,91.72446,92.01682,114,103,164,,,195,,642,,532,1320,,-16673,-22874,47, , ,H-24B-Profile2,174.01,20.26106,199,"Tuesday, April 18, 2023 6:30:16 AM"