Sample ID,"mg, sample","gm, sample","ng U, sample","ng Th, sample","ug U, sample","ug Th, sample","ug U, BB","ug Th, BB",ug U / gm sample,ug Th / gm sample,Fe ppb (ug/L),ug U / gm Fe,ug Th / gm Fe
A15-23B_1,1.0353,0.0010353,0.90,0.458505124,0.000904671,0.000458505,0.000903647,0.000456919,0.872835916,0.441340186,189099.7402,1.481919772,0.749316952
A15-23B_2,0.9419,0.0009419,0.74,0.383389873,0.000737715,0.00038339,0.000736691,0.000381804,0.782132956,0.405355392,193209.4343,1.182422993,0.612813375
A15-23B_3,0.9428,0.0009428,0.79,0.364013134,0.000787431,0.000364013,0.000786407,0.000362428,0.83411873,0.384416106,187098.584,1.303449609,0.600714268
A15-23B_4,1.0390,0.001039,0.88,0.469278661,0.000877353,0.000469279,0.000876329,0.000467693,0.843435503,0.450137663,214523.0774,1.266790203,0.676080125
A15-23B_5,1.0642,0.0010642,0.88,0.424313687,0.000876589,0.000424314,0.000875565,0.000422728,0.822745085,0.397226139,217892.6662,1.246110607,0.601629489
A15-23B_6,1.0285,0.0010285,0.82,0.408810993,0.00082215,0.000408811,0.000821127,0.000407225,0.798373061,0.395941043,217392.4266,1.171322559,0.580899706
A15-24B_1,0.9557,0.0009557,1.07,0.150549958,0.001065223,0.00015055,0.001064199,0.000148964,1.113528234,0.155869341,207685.3183,1.589021091,0.222427831
A15-24B_2,1.0015,0.0010015,1.12,0.163200834,0.001121626,0.000163201,0.001120602,0.000161615,1.118923617,0.161373145,204502.0222,1.699288372,0.245074377
A15-24B_3,0.9474,0.0009474,1.00,0.139902301,0.000996214,0.000139902,0.00099519,0.000138317,1.050443358,0.145996065,183381.3609,1.682941738,0.233903969
A15-24B_4,0.9674,0.0009674,1.04,0.143691704,0.001041824,0.000143692,0.0010408,0.000142106,1.075873951,0.146894846,174160.119,1.853273672,0.253037404
A15-24B_5,1.0367,0.0010367,1.09,1/0/00 4:05,0.0011,0.0002,0.001084835,0.000168671,1.046431369,0.162699874,187931.2002,1.790119622,0.278329038
A15-24B_6,1.0381,0.0010381,1.16,1/0/00 3:57,0.0012,0.0002,0.001157632,0.000163239,1.115144727,0.157247485,205561.7224,1.746390076,0.246259916
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,