Sp,Elements,Xtal,Position,Bg1,Bg2,Slope,Bias,Gain,Dtime,Blin,Wind,Mode,
Sp2,Al Ka,,LTAP,32483,   ,800,1.2,1308,3015,3,560, ,Inte
Sp2,Si Ka,,LTAP,27740,   ,750,1.1,1306,3023,3,560, ,Inte
Sp1,K  Ka,,PET,42763,-600,600,   ,1307,1031,3,560, ,Inte
Sp1,P  Ka,,PET,70396,-700,400,   ,1308,1005,3,560, ,Inte
Sp4,Ca Ka,,PET,38385,   ,700,1.1,1317,1026,3,560, ,Inte
Sp5,Ti Ka,,LLIF,68251,-675,625,   ,1820,366,3,560, ,Inte
Sp5,Mn Ka,,LLIF,52196,   ,650,1.05,1820,360,3,560, ,Inte
Sp4,Ba La,,PET,31724,-400,400,   ,1315,1023,3,560, ,Inte
Sp3,Th Ma,,LPET,47289,-575,575,   ,1824,909,3,560, ,Inte
Sp3,U  Ma,,LPET,44679,-1400,1400,   ,1824,919,3,560, ,Inte
Sp5,Fe Ka,,LLIF,48084,   ,950,1.05,1820,348,3,560, ,Inte
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,